    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    23   47
    #Band-Index:   40
    0.127370   -0.721772   -3.052157   0.270   0.094  -0.132
    0.127370   -0.690391   -3.101705   0.268  -0.082  -0.116
    0.127370   -0.659010   -3.031741   0.244  -0.110  -0.234
    0.127370   -0.627628   -3.032516   0.276  -0.056  -0.270
    0.127370   -0.596247   -3.008661  -0.296   0.000   0.270
    0.127370   -0.564865   -3.032516  -0.276   0.056   0.270
    0.127370   -0.533484   -3.031741  -0.244   0.110   0.234
    0.127370   -0.502102   -3.101705  -0.268   0.082   0.116
    0.127370   -0.470721   -3.052157  -0.270  -0.094   0.132
    0.127370   -0.439340   -2.855881  -0.282  -0.144   0.178
    0.127370   -0.407958   -2.675452  -0.342  -0.118   0.148
    0.127370   -0.376577   -2.649068  -0.368   0.044   0.142
    0.127370   -0.345195   -2.679665  -0.310   0.168   0.134
    0.127370   -0.313814   -2.853274  -0.284   0.154   0.070
    0.127370   -0.282433   -2.999590  -0.226   0.242  -0.150
    0.127370   -0.251051   -2.830082  -0.270  -0.216  -0.056
    0.127370   -0.219670   -2.580393  -0.266  -0.218   0.054
    0.127370   -0.188288   -2.384620  -0.254  -0.214  -0.102
    0.127370   -0.156907   -2.384620  -0.254   0.214  -0.102
    0.127370   -0.125526   -2.527753  -0.230   0.248   0.018
    0.127370   -0.094144   -2.669217  -0.230   0.290  -0.046
    0.127370   -0.062763   -2.753606  -0.170  -0.344  -0.076
    0.127370   -0.031381   -2.580793  -0.156  -0.298   0.028
    0.159212    0.000000   -2.093524   0.000   0.208   0.000
    0.159212    0.031381   -2.095228  -0.172  -0.124   0.034
    0.159212    0.062763   -2.056039  -0.328  -0.068  -0.118
    0.159212    0.094144   -2.186998  -0.420   0.074  -0.146
    0.159212    0.125526   -2.395203  -0.400   0.098  -0.162
    0.159212    0.156907   -2.509893  -0.342  -0.150  -0.164
    0.159212    0.188288   -2.441984  -0.216  -0.212  -0.134
    0.159212    0.219670   -2.355523  -0.136  -0.326  -0.052
    0.159212    0.251051   -2.248690  -0.144   0.000   0.226
    0.159212    0.282433   -2.374826  -0.034   0.338  -0.038
    0.159212    0.313814   -2.546262   0.156   0.282  -0.040
    0.159212    0.345195   -2.714193   0.182   0.334   0.056
    0.159212    0.376577   -2.705950   0.222  -0.306   0.064
    0.159212    0.407958   -2.577081   0.246  -0.242  -0.002
    0.159212    0.439340   -2.411902   0.242  -0.256   0.042
    0.159212    0.470721   -2.368974   0.270   0.124   0.154
    0.159212    0.502102   -2.525833   0.262   0.230  -0.050
    0.159212    0.533484   -2.781892   0.278   0.200   0.012
