  #K-Path    Energy        Bi        Sb
# NKPTS & NBANDS:  80  55
# Band-Index:    1
    1.406  -24.1881     0.984     0.000
    1.450  -24.1881     0.984     0.000
    1.493  -24.1881     0.984     0.000
    1.536  -24.1880     0.984     0.000
    1.580  -24.1880     0.984     0.000
    1.623  -24.1880     0.984     0.000
    1.666  -24.1880     0.984     0.000
    1.710  -24.1881     0.984     0.000
    1.753  -24.1881     0.984     0.000
    1.796  -24.1882     0.984     0.000
    1.840  -24.1882     0.984     0.000
    1.883  -24.1883     0.984     0.000
    1.926  -24.1884     0.984     0.000
    1.970  -24.1884     0.984     0.000
    2.013  -24.1883     0.984     0.000
    2.013  -24.1883     0.984     0.000
    2.052  -24.1884     0.984     0.000
    2.091  -24.1884     0.984     0.000
    2.129  -24.1883     0.984     0.000
    2.168  -24.1882     0.984     0.000
    2.207  -24.1882     0.984     0.000
    2.246  -24.1881     0.984     0.000
    2.285  -24.1881     0.984     0.000
    2.323  -24.1880     0.984     0.000
    2.362  -24.1880     0.984     0.000
    2.401  -24.1880     0.984     0.000
    2.440  -24.1880     0.984     0.000
    2.479  -24.1880     0.984     0.000
    2.518  -24.1881     0.984     0.000
    2.556  -24.1881     0.984     0.000
    2.595  -24.1881     0.984     0.000
    2.634  -24.1881     0.984     0.000
    2.673  -24.1881     0.984     0.000
    2.712  -24.1881     0.984     0.000
    2.750  -24.1881     0.984     0.000
 
# Band-Index:    8
    2.750  -24.1881     0.984     0.000
    2.712  -24.1881     0.984     0.000
    2.673  -24.1881     0.984     0.000
    2.634  -24.1880     0.984     0.000
    2.595  -24.1880     0.984     0.000
    2.556  -24.1880     0.984     0.000
    2.518  -24.1880     0.984     0.000
    2.479  -24.1880     0.984     0.000
    2.440  -24.1880     0.984     0.000
    2.401  -24.1880     0.984     0.000
    2.362  -24.1880     0.984     0.000
    2.323  -24.1880     0.984     0.000
    2.285  -24.1881     0.984     0.000
    2.246  -24.1881     0.984     0.000
    2.207  -24.1881     0.984     0.000
    2.168  -24.1881     0.984     0.000
    2.129  -24.1882     0.984     0.000
    2.091  -24.1882     0.984     0.000
    2.052  -24.1883     0.984     0.000
    2.013  -24.1883     0.984     0.000
    2.013  -24.1883     0.984     0.000
    1.970  -24.1883     0.984     0.000
    1.926  -24.1882     0.984     0.000
    1.883  -24.1882     0.984     0.000
    1.840  -24.1881     0.984     0.000
    1.796  -24.1881     0.984     0.000
    1.753  -24.1881     0.984     0.000
    1.710  -24.1881     0.984     0.000
    1.666  -24.1880     0.984     0.000
    1.623  -24.1880     0.984     0.000
    1.580  -24.1880     0.984     0.000
    1.536  -24.1880     0.984     0.000
    1.493  -24.1880     0.984     0.000
    1.450  -24.1880     0.984     0.000
    1.406  -24.1881     0.984     0.000
    1.363  -24.1881     0.984     0.000
    1.320  -24.1882     0.984     0.000
    1.276  -24.1883     0.984     0.000
    1.233  -24.1883     0.984     0.000
    1.190  -24.1884     0.985     0.000
    1.190  -24.1884     0.985     0.000
    1.146  -24.1883     0.984     0.000
    1.103  -24.1883     0.984     0.000
    1.060  -24.1882     0.984     0.000
    1.016  -24.1881     0.984     0.000
    0.973  -24.1881     0.984     0.000
    0.930  -24.1880     0.984     0.000
