     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
   -10.63103     0.73330     0.00190     0.00342     0.00190     0.00023     0.00022     0.00005     0.00022     0.00023     0.74147
   -10.47703     0.96680     0.00216     0.00379     0.00216     0.00032     0.00026     0.00004     0.00026     0.00032     0.97612
   -10.32403     1.67100     0.00246     0.00528     0.00246     0.00054     0.00032     0.00002     0.00032     0.00054     1.68295
   -10.17003     1.33300     0.00117     0.00344     0.00117     0.00026     0.00015     0.00001     0.00015     0.00026     1.33962
   -10.01703     0.32040     0.00010     0.00068     0.00010     0.00002     0.00001     0.00000     0.00001     0.00002     0.32133
    -9.86403     0.00011     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00011
    -9.71003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.55703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.40403     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.25003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.09703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.94403     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.79003     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.63703     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.48403     0.00495     0.00469     0.00014     0.00469     0.00042     0.00050     0.00001     0.00050     0.00042     0.01631
    -8.33003     0.09706     0.02821     0.00108     0.02821     0.00227     0.00326     0.00006     0.00326     0.00227     0.16568
    -8.17703     0.23370     0.03637     0.00247     0.03637     0.00251     0.00417     0.00008     0.00417     0.00251     0.32235
    -8.02403     0.19930     0.01934     0.00248     0.01934     0.00138     0.00228     0.00006     0.00228     0.00138     0.24783
    -7.87003     0.21230     0.01453     0.00333     0.01453     0.00107     0.00177     0.00005     0.00177     0.00107     0.25041
    -7.71703     0.22800     0.01125     0.00477     0.01125     0.00085     0.00142     0.00004     0.00142     0.00085     0.25987
    -7.56303     0.23680     0.00829     0.00673     0.00829     0.00065     0.00110     0.00003     0.00110     0.00065     0.26364
    -7.41003     0.24540     0.00575     0.00928     0.00575     0.00048     0.00082     0.00002     0.00082     0.00048     0.26878
    -7.25703     0.27450     0.00357     0.01399     0.00357     0.00031     0.00055     0.00001     0.00055     0.00031     0.29735
    -7.10303     0.24700     0.00113     0.01632     0.00113     0.00010     0.00018     0.00000     0.00018     0.00010     0.26615
    -6.95003     0.00829     0.00001     0.00061     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00893
