     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz      dx2-y2       tot  
    -5.76040     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -5.61640     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -5.47240     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -5.32840     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -5.18440     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -5.04040     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -4.89640     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -4.75240     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -4.60940     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -4.46540     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -4.32140     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -4.17740     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -4.03340     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -3.88940     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -3.74540     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -3.60140     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -3.45740     0.00000     0.00001     0.00000     0.00001     0.00000     0.00000     0.00000     0.00000     0.00000     0.00002
    -3.31440     0.00012     0.01853     0.00000     0.01853     0.00005     0.00000     0.00000     0.00000     0.00005     0.03729
    -3.17040     0.00112     0.05576     0.00002     0.05576     0.00021     0.00002     0.00001     0.00002     0.00021     0.11312
    -3.02640     0.00249     0.06268     0.00007     0.06268     0.00035     0.00002     0.00003     0.00002     0.00035     0.12869
    -2.88240     0.00411     0.10050     0.00087     0.10050     0.00059     0.00002     0.00005     0.00002     0.00059     0.20726
    -2.73840     0.00590     0.19170     0.00293     0.19170     0.00108     0.00003     0.00008     0.00003     0.00108     0.39454
    -2.59440     0.00839     0.29120     0.00429     0.29120     0.00213     0.00005     0.00012     0.00005     0.00213     0.59956
    -2.45040     0.01359     0.28890     0.00647     0.28890     0.00393     0.00005     0.00021     0.00005     0.00393     0.60602
    -2.30640     0.00752     0.10550     0.00160     0.10550     0.00154     0.00002     0.00013     0.00002     0.00154     0.22336
    -2.16340     0.00003     0.00039     0.00000     0.00039     0.00001     0.00000     0.00000     0.00000     0.00001     0.00083
    -2.01940     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -1.87540     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -1.73140     0.00161     0.00928     0.01255     0.00928     0.00011     0.00001     0.00003     0.00001     0.00011     0.03299
    -1.58740     0.02085     0.11130     0.20270     0.11130     0.00114     0.00016     0.00045     0.00016     0.00114     0.44921
    -1.44340     0.04402     0.15990     0.19940     0.15990     0.00166     0.00036     0.00101     0.00036     0.00166     0.56826
    -1.29940     0.07662     0.20050     0.23520     0.20050     0.00165     0.00063     0.00185     0.00063     0.00165     0.71924
    -1.15540     0.05256     0.14700     0.22350     0.14700     0.00099     0.00062     0.00136     0.00062     0.00099     0.57465
    -1.01240     0.04105     0.11170     0.21460     0.11170     0.00062     0.00066     0.00113     0.00066     0.00062     0.48275
    -0.86840     0.04223     0.12080     0.23990     0.12080     0.00052     0.00076     0.00123     0.00076     0.00052     0.52751
    -0.72440     0.03421     0.11780     0.27240     0.11780     0.00041     0.00063     0.00107     0.00063     0.00041     0.54536
    -0.58040     0.03241     0.10820     0.33410     0.10820     0.00041     0.00069     0.00108     0.00069     0.00041     0.58617
    -0.43640     0.02852     0.09438     0.24760     0.09438     0.00033     0.00039     0.00099     0.00039     0.00033     0.46730
    -0.29240     0.02581     0.07796     0.25610     0.07796     0.00022     0.00017     0.00094     0.00017     0.00022     0.43957
    -0.14840     0.00992     0.04779     0.12890     0.04779     0.00010     0.00047     0.00037     0.00047     0.00010     0.23591
    -0.00440     0.00320     0.03378     0.02201     0.03378     0.00006     0.00047     0.00013     0.00047     0.00006     0.09395
     0.13960     0.00165     0.00861     0.04567     0.00861     0.00002     0.00026     0.00007     0.00026     0.00002     0.06519
     0.28260     0.00587     0.06233     0.30980     0.06233     0.00016     0.00240     0.00026     0.00240     0.00016     0.44571
     0.42660     0.00820     0.10530     0.29990     0.10530     0.00026     0.00240     0.00040     0.00240     0.00026     0.52442
     0.57060     0.00655     0.08013     0.23940     0.08013     0.00022     0.00186     0.00035     0.00186     0.00022     0.41071
     0.71460     0.00193     0.03408     0.19470     0.03408     0.00017     0.00123     0.00010     0.00123     0.00017     0.26769
     0.85860     0.00152     0.03071     0.19440     0.03071     0.00026     0.00108     0.00007     0.00108     0.00026     0.26008
     1.00260     0.00131     0.03091     0.18380     0.03091     0.00047     0.00084     0.00005     0.00084     0.00047     0.24960
     1.14660     0.00692     0.05846     0.17260     0.05846     0.00140     0.00065     0.00037     0.00065     0.00140     0.30091
     1.29060     0.00673     0.12590     0.18570     0.12590     0.00447     0.00039     0.00036     0.00039     0.00447     0.45432
     1.43360     0.01156     0.03532     0.01790     0.03532     0.00057     0.00021     0.00077     0.00021     0.00057     0.10243
     1.57760     0.01888     0.05114     0.00666     0.05114     0.00160     0.00037     0.00126     0.00037     0.00160     0.13301
     1.72160     0.04499     0.11410     0.06550     0.11410     0.00834     0.00095     0.00275     0.00095     0.00834     0.36002
     1.86560     0.09036     0.16370     0.14450     0.16370     0.01471     0.00103     0.00572     0.00103     0.01471     0.59946
     2.00960     0.07175     0.13690     0.07071     0.13690     0.00987     0.00044     0.00493     0.00044     0.00987     0.44181
     2.15360     0.04719     0.11430     0.02670     0.11430     0.00853     0.00033     0.00343     0.00033     0.00853     0.32364
     2.29760     0.04398     0.12630     0.00947     0.12630     0.00823     0.00033     0.00338     0.00033     0.00823     0.32656
     2.44160     0.02618     0.08153     0.00507     0.08153     0.00562     0.00019     0.00209     0.00019     0.00562     0.20800
     2.58560     0.03266     0.11700     0.00435     0.11700     0.00671     0.00031     0.00280     0.00031     0.00671     0.28785
     2.72860     0.02254     0.06686     0.00165     0.06686     0.00292     0.00016     0.00202     0.00016     0.00292     0.16608
     2.87260     0.01999     0.11030     0.00211     0.11030     0.00774     0.00023     0.00185     0.00023     0.00774     0.26048
     3.01660     0.00055     0.02841     0.00097     0.02841     0.00253     0.00008     0.00006     0.00008     0.00253     0.06363
     3.16060     0.00213     0.05679     0.00041     0.05679     0.00595     0.00005     0.00011     0.00005     0.00595     0.12822
     3.30460     0.00096     0.07674     0.00128     0.07674     0.00653     0.00021     0.00014     0.00021     0.00653     0.16934
     3.44860     0.00120     0.01355     0.00008     0.01355     0.00115     0.00002     0.00014     0.00002     0.00115     0.03086
     3.59260     0.01413     0.11810     0.00073     0.11810     0.00950     0.00023     0.00237     0.00023     0.00950     0.27291
     3.73660     0.01228     0.05515     0.00045     0.05515     0.00402     0.00014     0.00350     0.00014     0.00402     0.13487
     3.87960     0.01190     0.09859     0.00031     0.09859     0.00604     0.00027     0.00459     0.00027     0.00604     0.22659
     4.02360     0.01244     0.14050     0.00056     0.14050     0.00850     0.00043     0.00580     0.00043     0.00850     0.31766
     4.16760     0.01108     0.07553     0.00022     0.07553     0.00415     0.00019     0.00698     0.00019     0.00415     0.17802
     4.31160     0.00967     0.08746     0.00029     0.08746     0.00440     0.00044     0.00786     0.00044     0.00440     0.20242
     4.45560     0.00858     0.09748     0.00254     0.09748     0.00460     0.00040     0.00705     0.00040     0.00460     0.22314
     4.59960     0.00731     0.05987     0.01658     0.05987     0.00383     0.00356     0.00911     0.00356     0.00383     0.16753
     4.74360     0.00795     0.08556     0.02383     0.08556     0.00518     0.01462     0.01098     0.01462     0.00518     0.25348
     4.88760     0.00965     0.08084     0.03950     0.08084     0.00581     0.02030     0.00929     0.02030     0.00581     0.27233
     5.03060     0.01110     0.04659     0.05594     0.04659     0.00458     0.02008     0.01374     0.02008     0.00458     0.22327
     5.17460     0.00783     0.03093     0.03782     0.03093     0.00432     0.00986     0.00806     0.00986     0.00432     0.14392
     5.31860     0.00837     0.02310     0.02270     0.02310     0.00412     0.00442     0.01059     0.00442     0.00412     0.10495
     5.46260     0.01167     0.02237     0.00093     0.02237     0.01020     0.00017     0.01209     0.00017     0.01020     0.09018
     5.60660     0.01749     0.04014     0.00033     0.04014     0.02080     0.00030     0.01158     0.00030     0.02080     0.15189
     5.75060     0.01487     0.01757     0.00454     0.01757     0.00695     0.01693     0.01190     0.01693     0.00695     0.11420
     5.89460     0.01614     0.02104     0.01417     0.02104     0.01279     0.02867     0.01185     0.02867     0.01279     0.16716
     6.03860     0.02436     0.01877     0.03403     0.01877     0.01316     0.02658     0.01603     0.02658     0.01316     0.19144
     6.18260     0.01882     0.02372     0.03223     0.02372     0.01546     0.02859     0.01317     0.02859     0.01546     0.19976
     6.32560     0.01903     0.03018     0.05178     0.03018     0.01234     0.03773     0.00930     0.03773     0.01234     0.24061
     6.46960     0.02499     0.02547     0.02619     0.02547     0.01828     0.03634     0.01393     0.03634     0.01828     0.22529
     6.61360     0.01611     0.03753     0.02499     0.03753     0.01034     0.04145     0.00995     0.04145     0.01034     0.22969
     6.75760     0.01981     0.06567     0.04396     0.06567     0.01864     0.05532     0.02155     0.05532     0.01864     0.36458
     6.90160     0.00735     0.01887     0.05503     0.01887     0.00665     0.04499     0.02574     0.04499     0.00665     0.22914
     7.04560     0.01536     0.02898     0.07890     0.02898     0.00857     0.08410     0.04048     0.08410     0.00857     0.37804
     7.18960     0.01115     0.01602     0.09443     0.01602     0.00632     0.07162     0.03352     0.07162     0.00632     0.32702
     7.33360     0.00918     0.00429     0.03205     0.00429     0.00415     0.01725     0.01437     0.01725     0.00415     0.10697
     7.47660     0.01637     0.01269     0.02494     0.01269     0.00682     0.00743     0.03181     0.00743     0.00682     0.12698
     7.62060     0.01169     0.00451     0.01031     0.00451     0.00216     0.00238     0.01925     0.00238     0.00216     0.05934
     7.76460     0.01496     0.00456     0.00619     0.00456     0.00553     0.00614     0.02562     0.00614     0.00553     0.07922
     7.90860     0.00601     0.00527     0.02487     0.00527     0.02149     0.01838     0.01140     0.01838     0.02149     0.13255
     8.05260     0.01018     0.00774     0.03383     0.00774     0.01843     0.02651     0.01789     0.02651     0.01843     0.16726
     8.19660     0.01568     0.00926     0.03575     0.00926     0.03102     0.05211     0.02282     0.05211     0.03102     0.25903
     8.34060     0.01310     0.01274     0.04099     0.01274     0.03434     0.07520     0.02075     0.07520     0.03434     0.31940
     8.48460     0.01108     0.01369     0.02562     0.01369     0.03047     0.03545     0.01890     0.03545     0.03047     0.21482
