  #K-Path    Energy        In        Sb
# NKPTS & NBANDS:  80  33
# Band-Index:    1
    1.987  -14.8080     0.976     0.002
    2.031  -14.8077     0.976     0.002
    2.074  -14.8072     0.976     0.002
    2.117  -14.8066     0.976     0.002
    2.160  -14.8059     0.977     0.002
    2.204  -14.8052     0.977     0.002
    2.247  -14.8044     0.977     0.002
    2.290  -14.8036     0.977     0.002
    2.333  -14.8028     0.978     0.001
    2.377  -14.8021     0.978     0.001
    2.420  -14.8015     0.978     0.001
    2.463  -14.8009     0.978     0.001
    2.506  -14.8005     0.978     0.001
    2.550  -14.8002     0.979     0.001
    2.593  -14.7999     0.979     0.001
    2.636  -14.7998     0.979     0.001
    2.679  -14.7997     0.979     0.001
    2.723  -14.7997     0.979     0.001
    2.766  -14.7996     0.979     0.001
 
# Band-Index:    4
    2.766  -14.7996     0.979     0.001
    2.723  -14.7997     0.979     0.001
    2.679  -14.7996     0.979     0.001
    2.636  -14.7996     0.979     0.001
    2.593  -14.7995     0.979     0.001
    2.550  -14.7993     0.979     0.001
    2.506  -14.7990     0.979     0.001
    2.463  -14.7986     0.979     0.001
    2.420  -14.7981     0.979     0.001
    2.377  -14.7976     0.979     0.001
    2.333  -14.7970     0.979     0.001
    2.290  -14.7963     0.979     0.001
    2.247  -14.7956     0.979     0.001
    2.204  -14.7949     0.980     0.001
    2.160  -14.7942     0.980     0.001
    2.117  -14.7936     0.980     0.001
    2.074  -14.7930     0.980     0.000
    2.031  -14.7926     0.980     0.000
    1.987  -14.7924     0.980     0.000
    1.944  -14.7923     0.980     0.000
    1.944  -14.7923     0.980     0.000
    1.923  -14.7923     0.980     0.000
    1.901  -14.7924     0.980     0.000
    1.879  -14.7925     0.980     0.000
    1.858  -14.7927     0.980     0.000
    1.836  -14.7929     0.980     0.000
    1.814  -14.7932     0.980     0.000
    1.793  -14.7935     0.980     0.001
    1.771  -14.7938     0.980     0.001
    1.750  -14.7943     0.980     0.001
    1.728  -14.7947     0.980     0.001
    1.706  -14.7952     0.979     0.001
    1.685  -14.7957     0.979     0.001
    1.663  -14.7963     0.979     0.001
    1.641  -14.7969     0.979     0.001
    1.620  -14.7975     0.979     0.001
    1.598  -14.7981     0.979     0.001
    1.577  -14.7988     0.978     0.001
    1.555  -14.7994     0.978     0.001
    1.533  -14.8001     0.978     0.001
    1.533  -14.8001     0.978     0.001
    1.496  -14.8001     0.978     0.001
    1.458  -14.8001     0.978     0.001
    1.421  -14.8000     0.978     0.001
    1.383  -14.8000     0.978     0.001
    1.346  -14.8000     0.978     0.001
    1.309  -14.7999     0.978     0.001
    1.271  -14.7999     0.978     0.001
    1.234  -14.7998     0.978     0.001
    1.196  -14.7998     0.979     0.001
    1.159  -14.7998     0.979     0.001
    1.121  -14.7998     0.979     0.001
    1.084  -14.7997     0.979     0.001
    1.046  -14.7997     0.979     0.001
    1.009  -14.7997     0.979     0.001
    0.971  -14.7997     0.979     0.001
    0.934  -14.7997     0.979     0.001
    0.897  -14.7997     0.979     0.001
    0.859  -14.7997     0.979     0.001
    0.822  -14.7996     0.979     0.001
    0.822  -14.7996     0.979     0.001
    0.778  -14.7997     0.979     0.001
    0.735  -14.7996     0.979     0.001
    0.692  -14.7996     0.979     0.001
    0.649  -14.7995     0.979     0.001
    0.605  -14.7993     0.979     0.001
    0.562  -14.7990     0.979     0.001
    0.519  -14.7986     0.979     0.001
    0.476  -14.7981     0.979     0.001
    0.432  -14.7976     0.979     0.001
    0.389  -14.7970     0.979     0.001
    0.346  -14.7963     0.979     0.001
    0.303  -14.7956     0.979     0.001
    0.259  -14.7949     0.980     0.001
    0.216  -14.7942     0.980     0.001
    0.173  -14.7936     0.980     0.001
    0.130  -14.7930     0.980     0.000
    0.086  -14.7926     0.980     0.000
    0.043  -14.7924     0.980     0.000
    0.000  -14.7923     0.980     0.000
 
# Band-Index:    5
    0.000  -14.0300     0.981     0.001
    0.043  -14.0300     0.981     0.001
    0.086  -14.0302     0.981     0.001
    0.130  -14.0305     0.980     0.001
    0.173  -14.0310     0.980     0.001
    0.216  -14.0316     0.980     0.001
    0.259  -14.0323     0.980     0.001
    0.303  -14.0330     0.980     0.001
    0.346  -14.0337     0.979     0.001
    0.389  -14.0345     0.979     0.002
    0.432  -14.0351     0.979     0.002
    0.476  -14.0358     0.979     0.002
    0.519  -14.0363     0.979     0.002
    0.562  -14.0367     0.979     0.002
    0.605  -14.0370     0.979     0.002
    0.649  -14.0371     0.979     0.002
    0.692  -14.0371     0.979     0.002
    0.735  -14.0370     0.979     0.002
    0.778  -14.0367     0.979     0.002
    0.822  -14.0363     0.979     0.002
    0.822  -14.0363     0.979     0.002
    0.859  -14.0366     0.979     0.002
    0.897  -14.0369     0.979     0.002
    0.934  -14.0371     0.979     0.002
    0.971  -14.0371     0.979     0.002
    1.009  -14.0371     0.979     0.002
    1.046  -14.0369     0.979     0.002
    1.084  -14.0366     0.979     0.002
    1.121  -14.0363     0.979     0.002
    1.159  -14.0358     0.979     0.002
    1.196  -14.0353     0.979     0.002
    1.234  -14.0347     0.979     0.002
    1.271  -14.0340     0.979     0.001
    1.309  -14.0333     0.980     0.001
    1.346  -14.0326     0.980     0.001
    1.383  -14.0319     0.980     0.001
    1.421  -14.0312     0.980     0.001
    1.458  -14.0306     0.980     0.001
    1.496  -14.0301     0.981     0.001
    1.533  -14.0296     0.981     0.001
    1.533  -14.0296     0.981     0.001
    1.555  -14.0297     0.981     0.001
    1.577  -14.0299     0.981     0.001
    1.598  -14.0300     0.981     0.001
    1.620  -14.0301     0.981     0.001
    1.641  -14.0302     0.981     0.001
    1.663  -14.0302     0.981     0.001
    1.685  -14.0303     0.981     0.001
    1.706  -14.0303     0.981     0.001
    1.728  -14.0303     0.981     0.001
    1.750  -14.0303     0.981     0.001
    1.771  -14.0303     0.981     0.001
    1.793  -14.0303     0.981     0.001
    1.814  -14.0302     0.981     0.001
    1.836  -14.0302     0.981     0.001
    1.858  -14.0301     0.981     0.001
    1.879  -14.0301     0.981     0.001
    1.901  -14.0300     0.981     0.001
    1.923  -14.0300     0.981     0.001
    1.944  -14.0300     0.981     0.001
    1.944  -14.0300     0.981     0.001
    1.987  -14.0300     0.981     0.001
    2.031  -14.0302     0.981     0.001
    2.074  -14.0305     0.980     0.001
