# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.719985   -0.229050    0.000000    0.201313    0.146896   -0.968450
   -0.719985   -0.220567    0.000000    0.202553    0.152031   -0.967398
   -0.719985   -0.212083    0.000000    0.203025    0.157369   -0.966445
   -0.719985   -0.203600    0.000000    0.202234    0.162514   -0.965759
   -0.719985   -0.195117    0.000000    0.199975    0.167189   -0.965431
   -0.719985   -0.186633    0.000000    0.196416    0.171341   -0.965434
   -0.719985   -0.178150    0.000000    0.192056    0.175176   -0.965623
   -0.719985   -0.169667    0.000000    0.187564    0.179108   -0.965785
   -0.719985   -0.161183    0.000000    0.183594    0.183651   -0.965694
   -0.719985   -0.152700    0.000000    0.180620    0.189302   -0.965164
   -0.719985   -0.144217    0.000000    0.178843    0.196439   -0.964068
   -0.719985   -0.135733    0.000000    0.178123    0.205233   -0.962368
   -0.719985   -0.127250    0.000000    0.177960    0.215563   -0.960137
   -0.719985   -0.118767    0.000000    0.177498    0.226947   -0.957596
   -0.719985   -0.110283    0.000000    0.175637    0.238539   -0.955118
   -0.719985   -0.101800    0.000000    0.171272    0.249257   -0.953172
   -0.719985   -0.093317    0.000000    0.163638    0.258085   -0.952163
   -0.719985   -0.084833    0.000000    0.152623    0.264449   -0.952246
   -0.719985   -0.076350    0.000000    0.138822    0.268478   -0.953230
   -0.719985   -0.067867    0.000000    0.123301    0.270974   -0.954657
   -0.719985   -0.059383    0.000000    0.107186    0.273135   -0.955985
   -0.719985   -0.050900    0.000000    0.091327    0.276189   -0.956754
   -0.719985   -0.042417    0.000000    0.076143    0.281117   -0.956648
   -0.719985   -0.033933    0.000000    0.061632    0.288494   -0.955496
   -0.719985   -0.025450    0.000000    0.047468    0.298412   -0.953256
   -0.719985   -0.016967    0.000000    0.033121    0.310429   -0.950019
   -0.719985   -0.008483    0.000000    0.018002    0.323570   -0.946033
   -0.719985    0.000000    0.000000    0.001607    0.336434   -0.941706
   -0.719985    0.008483    0.000000   -0.016328    0.347486   -0.937543
  
   -0.705291   -0.831367    0.000000    0.012174    0.552990    0.833099
   -0.705291   -0.822883    0.000000    0.017470    0.541745    0.840361
   -0.705291   -0.814400    0.000000    0.023234    0.531627    0.846660
   -0.705291   -0.805917    0.000000    0.029765    0.524072    0.851154
   -0.705291   -0.797433    0.000000    0.037256    0.519583    0.853608
   -0.705291   -0.788950    0.000000    0.045732    0.517658    0.854364
   -0.705291   -0.780467    0.000000    0.055000    0.516877    0.854291
   -0.705291   -0.771983    0.000000    0.064616    0.515147    0.854663
   -0.705291   -0.763500    0.000000    0.073936    0.510183    0.856882
   -0.705291   -0.755017    0.000000    0.082260    0.500186    0.862002
   -0.705291   -0.746533    0.000000    0.089070    0.484467    0.870263
   -0.705291   -0.738050    0.000000    0.094211    0.463718    0.880959
   -0.705291   -0.729567    0.000000    0.097940    0.439719    0.892780
   -0.705291   -0.721083    0.000000    0.100792    0.414657    0.904378
   -0.705291   -0.712600    0.000000    0.103367    0.390444    0.914806
   -0.705291   -0.704117    0.000000    0.106141    0.368292    0.923631
   -0.705291   -0.695633    0.000000    0.109351    0.348636    0.930857
   -0.705291   -0.687150    0.000000    0.112949    0.331248    0.936759
   -0.705291   -0.678667    0.000000    0.116615    0.315447    0.941751
   -0.705291   -0.670183    0.000000    0.119812    0.300338    0.946278
   -0.705291   -0.661700    0.000000    0.121914    0.285083    0.950718
   -0.705291   -0.653217    0.000000    0.122387    0.269154    0.955289
   -0.705291   -0.644733    0.000000    0.120983    0.252503    0.960003
   -0.705291   -0.636250    0.000000    0.117852    0.235558    0.964688
   -0.705291   -0.627767    0.000000    0.113503    0.219034    0.969093
   -0.705291   -0.619283    0.000000    0.108648    0.203663    0.972994
   -0.705291   -0.610800    0.000000    0.104016    0.189979    0.976263
   -0.705291   -0.602317    0.000000    0.100214    0.178224    0.978873
   -0.705291   -0.593833    0.000000    0.097676    0.168366    0.980873
   -0.705291   -0.585350    0.000000    0.096666    0.160179    0.982343
   -0.705291   -0.576867    0.000000    0.097306    0.153349    0.983369
   -0.705291   -0.568383    0.000000    0.099616    0.147564    0.984023
   -0.705291   -0.559900    0.000000    0.103558    0.142604    0.984347
   -0.705291   -0.551417    0.000000    0.109095    0.138394    0.984350
   -0.705291   -0.542933    0.000000    0.116266    0.135045    0.983994
   -0.705291   -0.534450    0.000000    0.125266    0.132847    0.983189
   -0.705291   -0.525967    0.000000    0.136547    0.132264    0.981764
   -0.705291   -0.517483    0.000000    0.150934    0.133940    0.979428
   -0.705291   -0.509000    0.000000    0.169785    0.138751    0.975664
   -0.705291   -0.500517    0.000000    0.195270    0.147945    0.969527
   -0.705291   -0.492033    0.000000    0.230832    0.163391    0.959177
   -0.705291   -0.483550    0.000000    0.281948    0.187988    0.940832
   -0.705291   -0.475067    0.000000    0.357122    0.226160    0.906264
   -0.705291   -0.466583    0.000000    0.467790    0.283656    0.837086
   -0.705291   -0.458100    0.000000    0.620263    0.362869    0.695413
   -0.705291   -0.449617    0.000000    0.783941    0.445543    0.432351
   -0.705291   -0.441133    0.000000    0.871846    0.484346    0.072751
   -0.705291   -0.432650    0.000000    0.849314    0.463730   -0.252233
   -0.705291   -0.424167    0.000000    0.773561    0.417135   -0.477077
   -0.705291   -0.415683    0.000000    0.688269    0.368146   -0.625103
   -0.705291   -0.407200    0.000000    0.605651    0.322616   -0.727396
   -0.705291   -0.398717    0.000000    0.528576    0.281421   -0.800880
   -0.705291   -0.390233    0.000000    0.459439    0.245311   -0.853662
   -0.705291   -0.381750    0.000000    0.400387    0.215048   -0.890755
   -0.705291   -0.373267    0.000000    0.352243    0.190834   -0.916246
   -0.705291   -0.364783    0.000000    0.314424    0.172238   -0.933526
   -0.705291   -0.356300    0.000000    0.285510    0.158458   -0.945185
   -0.705291   -0.347817    0.000000    0.263807    0.148588   -0.953062
   -0.705291   -0.339333    0.000000    0.247676    0.141755   -0.958417
   -0.705291   -0.330850    0.000000    0.235657    0.137182   -0.962105
   -0.705291   -0.322367    0.000000    0.226514    0.134197   -0.964719
   -0.705291   -0.313883    0.000000    0.219247    0.132246   -0.966665
   -0.705291   -0.305400    0.000000    0.213114    0.130909   -0.968217
   -0.705291   -0.296917    0.000000    0.207650    0.129924   -0.969537
   -0.705291   -0.288433    0.000000    0.202651    0.129193   -0.970691
   -0.705291   -0.279950    0.000000    0.198134    0.128766   -0.971680
   -0.705291   -0.271467    0.000000    0.194245    0.128795   -0.972461
   -0.705291   -0.262983    0.000000    0.191163    0.129470   -0.972982
   -0.705291   -0.254500    0.000000    0.189007    0.130963   -0.973204
   -0.705291   -0.246017    0.000000    0.187769    0.133369   -0.973116
   -0.705291   -0.237533    0.000000    0.187275    0.136674   -0.972753
   -0.705291   -0.229050    0.000000    0.187185    0.140731   -0.972192
   -0.705291   -0.220567    0.000000    0.187035    0.145268   -0.971553
   -0.705291   -0.212083    0.000000    0.186338    0.149936   -0.970977
   -0.705291   -0.203600    0.000000    0.184727    0.154406   -0.970585
   -0.705291   -0.195117    0.000000    0.182085    0.158477   -0.970428
   -0.705291   -0.186633    0.000000    0.178602    0.162168   -0.970465
   -0.705291   -0.178150    0.000000    0.174732    0.165741   -0.970566
   -0.705291   -0.169667    0.000000    0.171059    0.169642   -0.970546
   -0.705291   -0.161183    0.000000    0.168141    0.174415   -0.970210
   -0.705291   -0.152700    0.000000    0.166380    0.180594   -0.969383
   -0.705291   -0.144217    0.000000    0.165938    0.188613   -0.967931
   -0.705291   -0.135733    0.000000    0.166673    0.198719   -0.965780
   -0.705291   -0.127250    0.000000    0.168086    0.210866   -0.962955
   -0.705291   -0.118767    0.000000    0.169305    0.224606   -0.959629
   -0.705291   -0.110283    0.000000    0.169147    0.239028   -0.956167
   -0.705291   -0.101800    0.000000    0.166359    0.252840   -0.953098
   -0.705291   -0.093317    0.000000    0.159995    0.264689   -0.950969
   -0.705291   -0.084833    0.000000    0.149810    0.273641   -0.950093
   -0.705291   -0.076350    0.000000    0.136390    0.279579   -0.950386
   -0.705291   -0.067867    0.000000    0.120905    0.283253   -0.951393
   -0.705291   -0.059383    0.000000    0.104645    0.285973   -0.952507
   -0.705291   -0.050900    0.000000    0.088609    0.289147   -0.953175
   -0.705291   -0.042417    0.000000    0.073322    0.293923   -0.953013
   -0.705291   -0.033933    0.000000    0.058849    0.300979   -0.951813
   -0.705291   -0.025450    0.000000    0.044904    0.310437   -0.949533
   -0.705291   -0.016967    0.000000    0.030999    0.321838   -0.946287
   -0.705291   -0.008483    0.000000    0.016574    0.334160   -0.942371
   -0.705291    0.000000    0.000000    0.001153    0.345976   -0.938243
   -0.705291    0.008483    0.000000   -0.015536    0.355772   -0.934444
   -0.705291    0.016967    0.000000   -0.033488    0.362409   -0.931417
  
   -0.690598   -0.822883    0.000000    0.020760    0.513536    0.857817
   -0.690598   -0.814400    0.000000    0.027750    0.503904    0.863314
   -0.690598   -0.805917    0.000000    0.035536    0.496644    0.867227
   -0.690598   -0.797433    0.000000    0.044339    0.492256    0.869320
   -0.690598   -0.788950    0.000000    0.054217    0.490352    0.869836
   -0.690598   -0.780467    0.000000    0.065010    0.489726    0.869449
   -0.690598   -0.771983    0.000000    0.076307    0.488569    0.869182
   -0.690598   -0.763500    0.000000    0.087477    0.484867    0.870202
   -0.690598   -0.755017    0.000000    0.097808    0.476952    0.873471
   -0.690598   -0.746533    0.000000    0.106719    0.464040    0.879362
   -0.690598   -0.738050    0.000000    0.113956    0.446493    0.887501
   -0.690598   -0.729567    0.000000    0.119658    0.425640    0.896946
   -0.690598   -0.721083    0.000000    0.124261    0.403260    0.906609
   -0.690598   -0.712600    0.000000    0.128299    0.381016    0.915623
   -0.690598   -0.704117    0.000000    0.132212    0.360066    0.923511
   -0.690598   -0.695633    0.000000    0.136212    0.340945    0.930163
   -0.690598   -0.687150    0.000000    0.140231    0.323627    0.935735
   -0.690598   -0.678667    0.000000    0.143939    0.307696    0.940534
   -0.690598   -0.670183    0.000000    0.146811    0.292544    0.944915
   -0.690598   -0.661700    0.000000    0.148275    0.277588    0.949189
   -0.690598   -0.653217    0.000000    0.147887    0.262454    0.953544
   -0.690598   -0.644733    0.000000    0.145503    0.247097    0.958004
   -0.690598   -0.636250    0.000000    0.141360    0.231786    0.962441
   -0.690598   -0.627767    0.000000    0.136024    0.216980    0.966653
   -0.690598   -0.619283    0.000000    0.130241    0.203147    0.970448
   -0.690598   -0.610800    0.000000    0.124762    0.190613    0.973705
   -0.690598   -0.602317    0.000000    0.120211    0.179488    0.976388
   -0.690598   -0.593833    0.000000    0.117025    0.169678    0.978527
   -0.690598   -0.585350    0.000000    0.115444    0.160945    0.980188
   -0.690598   -0.576867    0.000000    0.115534    0.152997    0.981450
   -0.690598   -0.568383    0.000000    0.117230    0.145585    0.982376
   -0.690598   -0.559900    0.000000    0.120387    0.138581    0.983007
   -0.690598   -0.551417    0.000000    0.124855    0.132023    0.983352
   -0.690598   -0.542933    0.000000    0.130563    0.126116    0.983386
   -0.690598   -0.534450    0.000000    0.137590    0.121187    0.983048
