    #kx         ky         Energy       Sx      Sy      Sz
    #Grid-Size:    57   57
    #Band-Index:   20
    0.103384    0.775953   -3.957953   0.112   0.266   0.097
    0.103384    0.805798   -3.987839   0.058   0.308   0.167
    0.103384    0.835642   -4.002824   0.016   0.329   0.212
    0.103384    0.865487   -4.002825  -0.016   0.329   0.212
    0.103384    0.895331   -3.987842  -0.058   0.308   0.167
    0.103384   -0.775953   -3.957957  -0.112   0.266   0.097
    0.103384   -0.746109   -3.914314  -0.166   0.222   0.034
    0.103384   -0.716265   -3.859147  -0.213   0.190  -0.008
    0.103384   -0.686420   -3.795109  -0.250   0.168  -0.034
    0.103384   -0.656576   -3.724888  -0.280   0.155  -0.046
    0.103384   -0.626732   -3.651119  -0.303   0.146  -0.049
    0.103384   -0.596887   -3.576345  -0.321   0.141  -0.044
    0.103384   -0.567043   -3.502984  -0.333   0.138  -0.033
    0.103384   -0.537199   -3.433248  -0.339   0.140  -0.015
    0.103384   -0.507354   -3.368992  -0.339   0.143   0.008
    0.103384   -0.477510   -3.311496  -0.331   0.151   0.038
    0.103384   -0.447665   -3.261240  -0.314   0.163   0.072
    0.103384   -0.417821   -3.217751  -0.286   0.181   0.108
    0.103384   -0.387977   -3.179618  -0.244   0.203   0.142
    0.103384   -0.358132   -3.144741  -0.193   0.227   0.166
    0.103384   -0.328288   -3.110776  -0.139   0.249   0.175
    0.103384   -0.298444   -3.075566  -0.090   0.265   0.168
    0.103384   -0.268599   -3.037202  -0.049   0.271   0.154
    0.103384   -0.238755   -2.993355  -0.005   0.253   0.157
    0.103384   -0.208911   -2.939923   0.067   0.164   0.205
    0.103384   -0.179066   -2.875924   0.134   0.077   0.262
    0.103384   -0.149222   -2.809427   0.173   0.074   0.289
    0.103384   -0.119377   -2.748658   0.196   0.128   0.276
    0.103384   -0.089533   -2.698039   0.196   0.210   0.188
    0.103384   -0.059689   -2.657609   0.157   0.271   0.000
    0.103384   -0.029844   -2.627718   0.083   0.275  -0.206
    0.103384    0.000000   -2.615813   0.000   0.265  -0.291
    0.103384    0.029844   -2.627697  -0.083   0.275  -0.206
    0.129230    0.074611   -2.727389  -0.153   0.264   0.000
    0.129230    0.104455   -2.765815  -0.201   0.172   0.178
    0.129230    0.134300   -2.814871  -0.211   0.058   0.253
    0.129230    0.164144   -2.875072  -0.204  -0.017   0.248
    0.129230    0.193988   -2.939876  -0.176  -0.024   0.205
    0.129230    0.223833   -2.998090  -0.092   0.053   0.165
    0.129230    0.253677   -3.045461  -0.004   0.115   0.168
    0.129230    0.283521   -3.085359   0.065   0.136   0.187
    0.129230    0.313366   -3.120432   0.133   0.137   0.197
    0.129230    0.343210   -3.152708   0.199   0.127   0.188
    0.129230    0.373055   -3.184404   0.258   0.114   0.161
    0.129230    0.402899   -3.217984   0.306   0.102   0.122
    0.129230    0.432743   -3.255831   0.339   0.093   0.079
    0.129230    0.462588   -3.299841   0.359   0.088   0.039
    0.129230    0.492432   -3.351124   0.370   0.087   0.002
    0.129230    0.522276   -3.409896   0.372   0.088  -0.028
    0.129230    0.552121   -3.475528   0.368   0.090  -0.052
    0.129230    0.581965   -3.546686   0.361   0.093  -0.072
