      #Energy        TDOS
       5.20790       3.07000
       5.36490       3.30300
       5.52290       3.77100
       5.67990       3.99500
       5.83790       3.28700
       5.99490       3.04600
       6.15290       2.90600
       6.30990       3.51700
       6.46790       2.65800
       6.62490       3.92100
       6.78290       3.89400
       6.93990       1.51800
       7.09690       2.02800
       7.25490       0.76370
       7.41190       0.14300
       7.56990       0.00034
       7.72690       0.00000
       7.88490       0.00000
       8.04190       0.00000
       8.19990       0.00000
       8.35690       0.00000
       8.51490       0.00000
       8.67190       0.00000
       8.82990       0.00000
       8.98690       0.00000
       9.14490       0.00000
       9.30190       0.00000
       9.45990       0.00000
